factor_id,unit,context,name,fullname
665,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - N-fertiliser
666,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - P- and other fertiliser
667,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Chemicals nec
668,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Rubber and plastic products (25)
669,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Glass and glass products
670,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary glass for treatment, Re-processing of secondary glass into new glass"
671,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Ceramic goods
672,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Bricks, tiles and construction products, in baked clay"
673,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Cement, lime and plaster"
674,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Ash for treatment, Re-processing of ash into clinker"
675,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Other non-metallic mineral products
676,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Basic iron and steel and of ferro-alloys and first products thereof
677,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary steel for treatment, Re-processing of secondary steel into new steel"
678,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Precious metals
679,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
680,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Aluminium and aluminium products
681,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
682,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Lead, zinc and tin and products thereof"
683,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary lead for treatment, Re-processing of secondary lead into new lead"
684,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Copper products
685,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary copper for treatment, Re-processing of secondary copper into new copper"
686,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Other non-ferrous metal products
687,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
688,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Fabricated metal products, except machinery and equipment (28)"
689,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Machinery and equipment n.e.c. (29)
690,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Office machinery and computers (30)
691,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Electrical machinery and apparatus n.e.c. (31)
692,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Radio, television and communication equipment and apparatus (32)"
693,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Medical, precision and optical instruments, watches and clocks (33)"
694,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Motor vehicles, trailers and semi-trailers (34)"
695,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Other transport equipment (35)
696,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Furniture; other manufactured goods n.e.c. (36)
697,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by coal
698,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by gas
699,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by nuclear
700,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by hydro
701,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by wind
702,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by petroleum and other oil derivatives
703,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by biomass and waste
704,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by solar photovoltaic
705,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by solar thermal
706,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Electricity - tower - Electricity by tide, wave, ocean"
707,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity by Geothermal
708,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - tower - Electricity nec
709,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by coal
710,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by gas
711,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by nuclear
712,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by hydro
713,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by wind
714,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by petroleum and other oil derivatives
715,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by biomass and waste
716,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by solar photovoltaic
717,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by solar thermal
718,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Electricity - once-through - Electricity by tide, wave, ocean"
719,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity by Geothermal
720,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Electricity - once-through - Electricity nec
721,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Domestic - domestic Water Withdrawal Blue
